DN;Dm;Dn;d1_;b_;H;H1;D;D1;d_;n_;D2;h_
15;30;19;12;14;35;6;95;65;14;4;47;2
20;38;26;18;14;38;6;105;75;14;4;58;2
25;45;33;25;14;40;6;115;85;14;4;68;2
32;55;39;31;15;42;6;135;100;18;4;78;2
40;64;46;38;16;45;7;145;110;18;4;88;3
50;76;58;49;16;48;8;160;125;18;4;102;3
65;94;77;66;18;50;10;180;145;18;4;122;3
80;110;90;78;20;53;10;195;160;18;4;133;3
100;130;110;96;20;53;12;215;180;18;8;158;3
125;156;135;121;22;60;12;245;210;18;8;184;3
150;180;161;146;22;60;12;280;240;22;8;212;3
200;240;222;202;24;61;16;335;295;22;12;268;3
250;292;278;254;26;68;16;405;355;26;12;320;3
300;346;330;303;28;70;16;460;410;26;12;370;4
